primaryImg,name,price,description,isDeleted,sold,view,rating,addDate,quantity,discountPrice,path,filter
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-trung-mini-247x247.jpg,Chậu Trứng Mini,25000,"Chậu trứng mini gốm sứ trồng cây cảnh mini, sen đá xương rồng gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện)",FALSE,0,0,0,,20,25000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-gom-su-trong-cay-canh-mini-247x247.jpg,Chậu Trụ Kẻ,105000,Chậu trụ kẻ gốm sứ trồng cây cảnh để bàn gồm 02 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,8/27/2021,20,105000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-cay-gom-su-dep-247x247.jpg,Chậu Lê Trơn Cặp 2,140000,Cặp 2 chậu quả lê trơn trồng cây cảnh để bàn gồm 02 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,8/28/2021,20,140000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-cay-in-hinh-chu-lucky-247x247.jpg,Chậu quả lê in hình,60000,Chậu quả lê in hình để trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,8/29/2021,20,60000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-cay-de-ban-dep-247x247.jpg,Chậu Đáy Kim Cương,50000,Chậu đáy kim cương trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,8/30/2021,20,50000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-dai-to-gom-su-trong-cay-247x247.jpg,Chậu Đai To,65000,Chậu đai to gốm sứ trồng cây cảnh để bàn treo giá ban công gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,8/31/2021,20,65000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-phat-phong-thuy-trong-cay-canh-247x247.jpg,Chậu Phật,120000,Chậu phật cây cảnh mini để bàn gồm 01 chậu trồng cây cảnh và tượng như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/1/2021,20,120000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-phat-phong-thuy-trong-cay-canh-247x247.jpg,Chậu Phật,120000,,FALSE,0,0,0,9/2/2021,20,120000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-bong-lom-dep-247x247.jpg,Chậu bóng lõm gốm sứ trồng cây để bàn,50000,Chậu bóng lõm gốm sứ trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/3/2021,20,50000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/12/chau-cay-gom-su-247x247.jpg,Chậu bát trồng cây để bàn,50000,Chậu bát trồng cây để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/4/2021,20,50000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/11/chau-ke-den-trang-1-247x247.jpg,Chậu kẻ ca rô đen trắng trồng cây cảnh để bàn,50000,Chậu kẻ ca rô đen trắng trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/5/2021,20,50000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/10/chau-gom-su-qua-trung-247x247.jpg,Chậu hình quả trứng trồng cây cảnh để bàn,45000,Chậu hình quả trứng trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/6/2021,20,45000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/10/chau-tram-to-trong-cay-de-ban-247x247.jpg,Chậu hình quả trám to trồng cây cảnh để bàn,95000,Chậu hình quả trám to trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/7/2021,20,95000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/10/chau-trong-cay-kim-ngan-247x247.jpg,Chậu gốm sứ kim cương trồng cây cảnh để bàn,40000,Chậu gốm sứ kim cương trồng cây cảnh để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/8/2021,20,40000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/10/chau-coc-han-quoc-size-to-247x247.jpg,Chậu cốc hàn quốc trồng cây cảnh mini để bàn,20000,Chậu cốc hàn quốc trồng cây cảnh mini để bàn gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/9/2021,20,20000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/10/chau-coc-mini-han-quoc-247x247.jpg,Chậu cốc hàn quốc chữ smile trồng cây xương rồng sen đá,15000,Chậu cốc hàn quốc chữ smile trồng cây xương rồng sen đá gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/10/2021,20,15000,",Pots,CeramicPots,",",ColorPot,"
https://caycanhonline.vn/wp-content/uploads/2019/10/chau-hu-in-hinh-xuong-rong-247x247.jpg,Chậu chum vò mini in hình chữ lucky smile trồng cây sen đá,30000,Chậu chum vò mini in hình chữ lucky smile trồng cây sen đá gồm 01 chậu trồng cây cảnh như hình (không bao gồm cây và phụ kiện),FALSE,0,0,0,9/11/2021,20,30000,",Pots,CeramicPots,",",ColorPot,"
