name,price,primaryImg,isDeleted,quantity,discountPrice,description,view,addDate,rating,sold,path,filter
Sen đá ngọc lá dài (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_4419_a5bab60ab5554237a732bc5fdc97a56f_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Xương rồng xanh (Bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_7525_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Sen đá ống điếu (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_5356_7113be8b88b747359aff8fb631b68ca7_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,OrangePlant,"
Sỏi dẹt 3-5cm (bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2994_1def5bd6afea41a6b95eb04919b6e7e8_master.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,BluePlant,"
Sen đá rubi lá ngắn (Bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_2655_200c7a91c2124b6c8607cd6f5daf35bc_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,OrangePlant,"
Hoa hồng đen lá dài 3-5cm (Chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2673_73ab03c84a8c4c799a4a686d3a510e78_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Sen đá phật bà (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_7969_3ab6fb13a47d4f48a94961f1cce800e5_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
Sen hồng mập (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_2846_b8a067dafcaa4b66a16c6e12a7c579ac_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Sen kim tuyến 9-11cm (chậu nhựa),40000,https://product.hstatic.net/1000187613/product/img_1502_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,MediumStoneLotus,",",NonFlower,PurplePlant,"
Viền đỏ giống mới bụi 9-11cm (Chậu nhựa),40000,https://product.hstatic.net/1000187613/product/img_9379_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,MediumStoneLotus,",",NonFlower,OrangePlant,"
Sen cúc cỡ vừa 9-11cm (chậu nhựa),40000,https://product.hstatic.net/1000187613/product/img_9568_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,MediumStoneLotus,",",NonFlower,GreenPlant,"
Sen đá hồng sao (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/upload_3bbd9e1b72f34470b05e86d102edf3a7_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,OrangePlant,"
Xương rồng thạch trụ thiên (Bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_5100_0f7d934c02db4bc79e9d35d521d456cc_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Xương rồng trứng chim (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/upload_c61180297bd2417d9f4cb88087d637eb_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Sen hàm cá mập (chậu nhựa/bịch nhựa),15000,https://product.hstatic.net/1000187613/product/img_5539_d92f005aecb145b9b64ce0989be6c7d3_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
